term,new_term,file
"domains","workloads","/app/src/content/docs/en/pages/main-menu/reference/secure/edge-firewall/digital-certificates.mdx"
"domains","workloads","/app/src/content/docs/en/pages/main-menu/reference/secure/edge-firewall/web-application-firewall/web-application-firewall.mdx"
"domains","workloads","/app/src/content/docs/en/pages/main-menu/reference/secure/edge-firewall/mtls.mdx"
"domains","workloads","/app/src/content/docs/en/pages/main-menu/reference/secure/edge-firewall/edge-firewall.mdx"
"domains","workloads","/app/src/content/docs/en/pages/main-menu/reference/secure/edge-firewall/rules-engine.mdx"
"domains","workloads","/app/src/content/docs/en/pages/main-menu/reference/secure/edge-dns/dnssec/dnssec.mdx"
"domains","workloads","/app/src/content/docs/en/pages/main-menu/reference/secure/edge-dns/edge-dns.mdx"
"domains","workloads","/app/src/content/docs/en/pages/main-menu/reference/edge-ai/models.mdx"
"domains","workloads","/app/src/content/docs/en/pages/main-menu/reference/build/edge-application/digital-certificates.mdx"
"domains","workloads","/app/src/content/docs/en/pages/main-menu/reference/build/edge-application/domains/domains.mdx"
"domains","workloads","/app/src/content/docs/en/pages/main-menu/reference/build/edge-application/domains/mtls.mdx"
"domains","workloads","/app/src/content/docs/en/pages/main-menu/reference/build/edge-application/edge-application.mdx"
"domains","workloads","/app/src/content/docs/en/pages/main-menu/reference/build/edge-application/rules-engine.mdx"
"domains","workloads","/app/src/content/docs/en/pages/main-menu/reference/services/support/technical-support.mdx"
"domains","workloads","/app/src/content/docs/en/pages/main-menu/reference/services/integration-services/managed-configurations.mdx"
"domains","workloads","/app/src/content/docs/en/pages/main-menu/reference/accounts/teams-permissions.mdx"
"domains","workloads","/app/src/content/docs/en/pages/main-menu/reference/observe/real-time-metrics/real-time-metrics.mdx"
"domains","workloads","/app/src/content/docs/en/pages/main-menu/reference/observe/data-stream/data-stream.mdx"
"domains","workloads","/app/src/content/docs/en/pages/main-menu/additional-resources/migrate-to-azion/migrate-to-azion.mdx"
"domains","workloads","/app/src/content/docs/en/pages/main-menu/additional-resources/templates-and-integrations/understand-azion-integrations.mdx"
"domains","workloads","/app/src/content/docs/en/pages/main-menu/additional-resources/templates-and-integrations/install-an-integration.mdx"
"domains","workloads","/app/src/content/docs/en/pages/main-menu/additional-resources/templates-and-integrations/understand-azion-templates.mdx"
